name,college_lat,college_lng
Massachusetts Institute of Technology,42.360091,-71.09416
Harvard University,42.3770029,-71.11666009999999
Stanford University,37.4274745,-122.169719
Yale University,41.3163244,-72.92234309999999
Princeton University,40.3430942,-74.65507389999999
Duke University,36.0014258,-78.9382286
Rice University,29.7173941,-95.40183119999999
Brown University,41.8267718,-71.4025482
University of Pennsylvania,39.9522188,-75.1932137
Dartmouth College,43.7044406,-72.2886935
Columbia University,40.8075355,-73.9625727
Washington University in St. Louis,38.6487895,-90.31079620000001
Vanderbilt University,36.1447034,-86.8026551
Northwestern University,42.0564594,-87.67526699999999
University of Chicago,41.7886079,-87.5987133
University of Southern California,34.0223519,-118.285117
Cornell University,42.4534492,-76.4735027
Pomona College,34.0977683,-117.7118837
University of Notre Dame,41.6991133,-86.2387627
California Institute of Technology,34.1376576,-118.125269
Carnegie Mellon University,40.4432027,-79.9428499
Johns Hopkins University,39.3299013,-76.6205177
University of California - Los Angeles,34.068921,-118.4451811
Georgetown University,38.9076089,-77.07225849999999
University of Michigan - Ann Arbor,42.2780436,-83.7382241
Tufts University,42.4085371,-71.1182729
Bowdoin College,43.9076929,-69.9639971
Washington and Lee University,37.7898776,-79.4458935
University of Virginia,38.0335529,-78.5079772
Georgia Institute of Technology,33.7756178,-84.39628499999999
Claremont McKenna College,34.1006868,-117.7065073
Middlebury College,44.0081076,-73.1760413
Harvey Mudd College,34.1060906,-117.7086431
Haverford College,40.00744230000001,-75.3051299
Emory University,33.7971368,-84.32224
Swarthmore College,39.9038329,-75.3526559
United States Military Academy at West Point,41.3918372,-73.9625033
Barnard College,40.8094844,-73.963487
Wellesley College,42.2935733,-71.3059277
Hamilton College,43.0527984,-75.4059719
Carleton College,44.4613633,-93.1559742
New York University,40.7294262,-73.9935958
Colgate University,42.822465,-75.541671
Williams College,42.7128843,-73.20313949999999
Wake Forest University,36.1355052,-80.2791958
Boston College,42.3355488,-71.16849450000001
University of North Carolina at Chapel Hill,35.9049122,-79.0469134
University of Florida,29.6436325,-82.3549302
University of California - Berkeley,37.8718992,-122.2585399
Davidson College,35.5008018,-80.8446725
Northeastern University,42.3398067,-71.0891717
University of Texas - Austin,30.2849185,-97.7340567
Wesleyan University,36.7174035,-95.95363599999999
Boston University,42.3504997,-71.1053991
Amherst College,42.3709104,-72.5170028
William & Mary,37.0412191,-95.6393167
University of Georgia,33.9480053,-83.3773221
Colby College,44.5638691,-69.6626362
University of Richmond,37.5751669,-77.5407146
Grinnell College,41.749223,-92.7201302
University of Miami,25.7178924,-80.2746368
Bates College,44.1057216,-70.2021865
Macalester College,44.9379243,-93.1690746
Babson College,42.2964421,-71.2657077
University of Wisconsin,43.076592,-89.4124875
Villanova University,40.0368926,-75.3425785
Lehigh University,40.6048687,-75.3775187
Virginia Tech,37.22838429999999,-80.42341669999999
The Cooper Union for the Advancement of Science and Art,40.7280822,-73.99160859999999
Lafayette College,40.6983134,-75.209746
University of Illinois Urbana-Champaign,40.1019523,-88.2271615
Case Western Reserve University,41.5043413,-81.6083838
Tulane University,29.9407282,-90.12031669999999
Smith College,42.3162992,-72.6403095
University of California - Santa Barbara,34.4139629,-119.848947
University of Rochester,43.1305531,-77.6260033
Purdue University,40.4237054,-86.92119459999999
Kenyon College,40.3743867,-82.3966193
Vassar College,41.686229,-73.8972957
Texas A&M University,30.6090918,-96.3337124
Florida State University,30.4418778,-84.2984889
University of California - Irvine,33.6404952,-117.8442962
College of the Holy Cross,42.2392391,-71.8079608
Bucknell University,40.9547722,-76.88507589999999
Penn State,40.7982133,-77.8599084
North Carolina State University,35.7846633,-78.6820946
Skidmore College,43.0956588,-73.7856989
Southern Methodist University,32.8412178,-96.78451749999999
The Ohio State University,40.0066723,-83.0304546
Mount Holyoke College,42.25536150000001,-72.5722406
University of California - Davis,38.5382322,-121.7617125
Santa Clara University,37.3496418,-121.9389875
Colorado School of Mines,39.7510475,-105.2225708
Brigham Young University,40.2518435,-111.6493156
University of Minnesota Twin Cities,44.97399,-93.2277285
Trinity University,29.4607988,-98.484393
Rose-Hulman Institute of Technology,39.4833474,-87.32413489999999
Rensselaer Polytechnic Institute,42.7297628,-73.67888839999999
University of Washington,47.6505283,-122.3093688
Clemson University,34.673407,-82.8367119
University of California - San Diego,32.8800604,-117.2340135
Bryn Mawr College,40.0278802,-75.3144595
George Washington University,38.8997145,-77.0485992
Occidental College,34.1273187,-118.2101144
Worcester Polytechnic Institute,42.2743015,-71.8081371
Whitman College,46.07057990000001,-118.3306351
Scripps College,34.1039266,-117.7101745
Reed College,45.4810848,-122.6308086
University of Maryland - College Park,38.9869183,-76.9425543
University of Pittsburgh,40.4443533,-79.960835
Michigan State University,42.701848,-84.4821719
Franklin & Marshall College,37.687931,-97.298645
Colorado College,38.847021,-104.823665
Brandeis University,42.3657375,-71.2585661
Texas Christian University,32.7078531,-97.36280409999999
Pepperdine University,34.0414045,-118.7095814
Stevens Institute of Technology,40.7468668,-74.0258467
University of Tulsa,36.1520526,-95.94607529999999
St. Olaf College,44.4621319,-93.18402809999999
Indiana University - Bloomington,39.1754487,-86.512627
Wheaton College - Illinois,41.86947,-88.096826
Rhode Island School of Design,41.8258538,-71.4077368
Pitzer College,34.1042832,-117.7050738
Loyola Marymount University,33.9701634,-118.4166111
Gettysburg College,39.8356944,-77.2356339
Michigan Technological University,47.119148,-88.54678
University of Massachusetts - Amherst,42.3867598,-72.5300515
Saint Louis University,38.63586129999999,-90.2341599
Furman University,34.9260157,-82.44007239999999
Virginia Military Institute,37.79151,-79.435352
University of South Florida,28.0587031,-82.41385389999999
Denison University,40.0734008,-82.52290479999999
University of San Diego,32.7719191,-117.188213
Wabash College,40.0369332,-86.90667119999999
California Polytechnic State University (Cal Poly) - San Luis Obispo,35.3050053,-120.6624942
Oklahoma State University,36.1270236,-97.07372219999999
Rutgers University - New Brunswick,40.5008405,-74.44741739999999
Yeshiva University,40.850457,-73.9289675
James Madison University,38.435092,-78.8697548
Auburn University,32.5933574,-85.4951663
Rhodes College,35.1556997,-89.9889893
Union College - New York,42.81771250000001,-73.9295987
Dickinson College,40.2027462,-77.2008334
University of Delaware,39.6779504,-75.7506114
Baylor University,31.5488923,-97.1130573
University of Utah,40.7649368,-111.8421021
Iowa State University,42.0266573,-93.64645159999999
University of Central Florida,28.6024274,-81.2000599
University of Iowa,41.66270780000001,-91.5549771
Arizona State University,33.4532165,-112.0719833
Hendrix College,35.0995323,-92.44067729999999
University of Dayton,39.7393,-84.17996749999999
University of South Carolina,33.9937575,-81.0299186
Mississippi State University,33.4551742,-88.79437659999999
Lewis & Clark College,44.27502700000001,-73.5655742
University of Oklahoma,35.2058936,-97.4457137
University of Connecticut,41.8077414,-72.2539805
University of St. Thomas - Minnesota,44.943096,-93.1897082
Bentley University,42.3855321,-71.2217903
Syracuse University,43.0391534,-76.1351158
Fairfield University,41.1588424,-73.2573886
LeTourneau University,32.4662246,-94.72733509999999
University of South Florida - Sarasota-Manatee,27.3914573,-82.5629688
Washington State University,46.7319225,-117.1542121
Drake University,41.6030995,-93.6546481
University of Missouri,38.9403808,-92.32773750000001
University of Cincinnati,39.1329219,-84.51495039999999
Texas Tech University,33.5842591,-101.8782822
Milwaukee School of Engineering,43.0440406,-87.9085844
Chapman University,33.7932062,-117.8536685
American University,38.93798510000001,-77.08886869999999
Kansas State University,39.1974437,-96.5847249
California State University - Long Beach,33.7838235,-118.1140904
University of Arizona,32.2318851,-110.9501094
Gustavus Adolphus College,44.3241738,-93.97602049999999
Point Loma Nazarene University,32.7179303,-117.2504209
Trinity College - Connecticut,41.7477163,-72.6905038
Florida International University,25.7561275,-80.3768786
University of Arkansas,36.0686895,-94.1748471
Creighton University,41.2655521,-95.94638619999999
"Binghamton University, SUNY",42.0894288,-75.9694885
Temple University,39.9805942,-75.1557376
University of South Florida - St. Petersburg,27.763435,-82.6352615
University of Portland,45.5732046,-122.7275712
St. Lawrence University,44.5892119,-75.1608814
University of Mississippi,34.3647349,-89.5383818
Miami University,39.5087485,-84.73449149999999
University of Nebraska - Lincoln,40.8201966,-96.70047629999999
College of Wooster,40.81036599999999,-81.9311271
"University at Buffalo, SUNY",43.0008093,-78.7889697
University of Alabama - Birmingham,33.5019893,-86.8064433
The University of Alabama,33.2140233,-87.5391418
Augustana University,43.5224294,-96.73936359999999
Oberlin College,41.2958696,-82.22108899999999
Lawrence University,44.2611716,-88.3989041
DigiPen Institute of Technology,47.6888173,-122.150317
College of the Ozarks,36.6163199,-93.23937889999999
University of Denver,39.6766174,-104.9618965
South Dakota School of Mines & Technology,44.074166,-103.205931
University of Colorado - Boulder,40.00758099999999,-105.2659417
Loyola University Maryland,39.3476737,-76.6172375
Drexel University,39.9566127,-75.18994409999999
Gonzaga University,47.66703210000001,-117.4014343
University of Kansas,38.9543439,-95.2557961
Union University,35.6773778,-88.85959059999999
Embry-Riddle Aeronautical University - Daytona Beach,29.1917101,-81.05010899999999
University of Wyoming,41.3148754,-105.5665744
John Carroll University,41.490507,-81.5293129
University of Texas - Dallas,32.9857619,-96.7500993
Louisiana Tech University,32.5282644,-92.6499298
Colorado State University,40.57341479999999,-105.0865487
University of Oregon,44.0448302,-123.0726055
Ouachita Baptist University,34.1305096,-93.05225809999999
San Diego State University,32.7759894,-117.0712533
Hope College,42.7875308,-86.1026663
Marquette University,43.038456,-87.9311302
Maine Maritime Academy,44.3885883,-68.803489
University of San Francisco,37.7765643,-122.4507187
The College of New Jersey,40.268439,-74.77769599999999
Oregon State University,44.5637806,-123.2794443
Sewanee - The University of the South,35.2046691,-85.9178945
DePauw University,39.6392814,-86.8634368
United States Merchant Marine Academy,40.8108657,-73.7628127
CUNY Baruch College,40.7403892,-73.98322859999999
University of Houston,29.7199489,-95.3422334
Biola University,33.9062611,-118.0155533
Moody Bible Institute,41.8974099,-87.6329598
Thomas Jefferson University,39.843445,-75.148297
Calvin University,42.9328286,-85.58154739999999
DePaul University,41.877575,-87.6272176
Connecticut College,41.3797568,-72.10434289999999
University of Dallas,32.8449929,-96.9186842
Ohio Northern University,40.766263,-83.83250559999999
Florida Institute of Technology,28.0646888,-80.62302199999999
Luther College,43.31479100000001,-91.80521019999999
Illinois Wesleyan University,40.490892,-88.99051519999999
University of Scranton,41.40666299999999,-75.6586032
Missouri University of Science & Technology,37.9537078,-91.7756271
Clark University,42.2520353,-71.8245381
Fordham University,40.8620404,-73.88569869999999
Albany College of Pharmacy & Health Sciences,42.6521957,-73.7788392
University of Tennessee,35.9544013,-83.92945639999999
Wofford College,34.958898,-81.9332491
University of California - Riverside,33.9737055,-117.3280644
Rollins College,28.5930546,-81.34797689999999
Liberty University,37.3530446,-79.1769529
Rockhurst University,39.03092669999999,-94.57155449999999
Samford University,33.4649218,-86.7913423
University of Colorado Denver,39.7463596,-105.002342
Lake Forest College,42.2503467,-87.82861419999999
Ohio University,39.324358,-82.10138889999999
"University of Maryland, Baltimore County",39.2556759,-76.7109674
Mercer University,33.8729073,-84.2631681
Butler University,39.8405491,-86.1708927
Kalamazoo College,42.290035,-85.598145
Harding University,35.245152,-91.7235465
Rutgers University - Newark,40.7419427,-74.1727169
Louisiana State University,30.4132579,-91.1800023
Augustana College - Illinois,41.5030042,-90.5513921
Embry-Riddle Aeronautical University - Prescott,34.6172162,-112.450526
University of the Pacific,37.9798869,-121.3128577
St. Norbert College,44.44361079999999,-88.06948469999999
Valparaiso University,41.4639394,-87.04388929999999
Citadel Military College of South Carolina,32.7973082,-79.9596641
Saint Joseph's University,39.9951217,-75.23993279999999
Lipscomb University,36.1046431,-86.7988728
Emerson College,42.3521677,-71.0653445
Rochester Institute of Technology,43.0849643,-77.671866
Providence College,41.8415128,-71.43359099999999
Whitworth University,47.75487280000001,-117.4178623
Duquesne University,40.4367779,-79.9892761
University of New Hampshire,43.138948,-70.9370252
Hobart and William Smith Colleges,42.8572633,-76.987228
Muhlenberg College,40.597544,-75.5101316
Appalachian State University,36.21356280000001,-81.68432179999999
West Virginia University,39.6480359,-79.9697147
Seton Hall University,40.7430841,-74.246082
St. Bonaventure University,42.0794875,-78.48427029999999
Willamette University,44.9352335,-123.0307101
Taylor University,40.4558636,-85.49885379999999
Pacific Lutheran University,47.14519310000001,-122.4436669
The University of Alabama in Huntsville,34.7245284,-86.6397976
University of Wisconsin - La Crosse,43.8173959,-91.2311624
Bard College,42.0234033,-73.9080078
University of the Sciences,39.9468678,-75.2071035
University of Minnesota Crookston,47.7998548,-96.6072394
The University of Baltimore,39.3059125,-76.61746339999999
John Brown University,36.1905331,-94.55922869999999
Illinois Institute of Technology,41.8348731,-87.6270059
Cedarville University,39.7495287,-83.81263299999999
"Stony Brook University, SUNY",40.90479620000001,-73.12396489999999
Loyola University Chicago,41.9987765,-87.6582585
Bryant University,41.9214717,-71.5376476
University of Idaho,46.7288124,-117.0126084
University of Kentucky,38.0306511,-84.5039697
The Master's University,34.38247,-118.519341
University of Louisville,38.2122761,-85.75850229999999
Loras College,42.5030898,-90.68106069999999
Clarkson University,42.813897,-73.93420200000001
Seattle Pacific University,47.6491714,-122.3618554
The Catholic University of America,38.9368811,-76.99869199999999
Southwestern University,30.6367076,-97.6625885
Allegheny College,41.6484557,-80.1455328
University of Missouri - Kansas City,39.0333662,-94.57776179999999
University of Evansville,37.9733172,-87.53186439999999
St. Mary's College of Maryland,38.1885119,-76.42627499999999
Earlham College,39.823941,-84.913241
Hollins University,37.3566761,-79.9428447
New Mexico Tech,34.065993,-106.905611
Cornell College,41.92695459999999,-91.4253502
The New School,36.0964959,-94.1564667
Dordt University,43.0824829,-96.16636079999999
SUNY College of Environmental Science & Forestry,43.0345102,-76.1366182
Bradley University,40.6977743,-89.6153484
Concordia College,46.8628042,-96.7700579
Loyola University New Orleans,29.9346582,-90.1209925
University of Vermont,44.4778528,-73.1964637
CUNY Lehman College,40.8728933,-73.8945076
Agnes Scott College,33.7685056,-84.29453459999999
Virginia Commonwealth University,37.5483122,-77.4526805
CUNY John Jay College of Criminal Justice,40.7707237,-73.9892342
Hampden-Sydney College,37.2412293,-78.46274489999999
New Jersey Institute of Technology,40.7423462,-74.1793225
University of Puget Sound,47.2617495,-122.4814442
New Mexico State University,32.2787745,-106.7479059
Franciscan Missionaries of Our Lady University,30.4014701,-91.1107008
William Carey University,31.3039491,-89.2923028
St. Mary's University,29.4523378,-98.5640981
Fashion Institute of Technology,40.7472735,-73.9950166
University of Illinois at Chicago,41.8696074,-87.64962179999999
University of West Florida,30.5491387,-87.21858619999999
William Jessup University,38.8203949,-121.292457
St. John Fisher College,43.114802,-77.5110598
Pratt Institute,40.6913844,-73.9629858
Utah State University,41.745161,-111.8097425
Christopher Newport University,37.0642445,-76.4936031
Centre College,37.6457165,-84.779061
St. Catherine University,44.9247103,-93.1821902
University of La Verne,34.1007589,-117.7729742
Spelman College,33.7451953,-84.41143749999999
Oral Roberts University,36.0507991,-95.9536715
Berea College,37.570585,-84.288969
Manhattan College,40.8900515,-73.9011239
Westmont College,34.4488434,-119.6610313
University of North Carolina - Wilmington,34.223874,-77.8696036
Johnson University,28.3024838,-81.3626275
Nebraska Wesleyan University,40.8388083,-96.64742539999999
Marist College,41.7231056,-73.9344866
University of St. Thomas - Texas,29.7364692,-95.3933007
The University of Virginia's College at Wise,36.970591,-82.560716
Hanover College,38.7145868,-85.4597594
University of Northern Iowa,42.5121517,-92.46464689999999
Saint John's University - Minnesota,45.5796783,-94.3944417
George Mason University,38.8298118,-77.3073606
University of Minnesota Duluth,46.8187754,-92.0843306
University of Nevada - Reno,39.5453298,-119.8161541
California Baptist University,33.9288906,-117.4259155
California State University - Fullerton,33.8823476,-117.8851033
Eastern Mennonite University,38.4724719,-78.8775142
Northwestern College - Iowa,42.9962057,-96.05903210000001
Azusa Pacific University,34.1300755,-117.8883593
University of North Carolina School of the Arts,36.076292,-80.237011
University of North Texas,33.207488,-97.1525862
SUNY Maritime College,40.8077371,-73.79657279999999
University of California - Santa Cruz,36.9880503,-122.0582093
D'Youville,42.9033183,-78.8905599
Millsaps College,32.3215874,-90.18021759999999
The College of Idaho,43.6536737,-116.6767711
Maryville University,38.6449452,-90.50457279999999
University of North Florida,30.2661204,-81.50723140000001
Seattle University,47.6091765,-122.3178465
University of North Dakota,47.922891,-97.0768014
Howard University,38.9226843,-77.0194377
Truman State University,40.1831629,-92.5809621
Manhattan School of Music,40.8127119,-73.9616041
University of Michigan - Dearborn,42.31763429999999,-83.2320299
Montana State University,45.6673524,-111.0546211
Bob Jones University,34.8725832,-82.3624705
University of Massachusetts - Lowell,42.6552587,-71.3247164
Austin College,33.6474801,-96.5979639
Mississippi College,32.3358902,-90.3305927
College of Saint Benedict,45.5796783,-94.3944417
University of North Carolina at Charlotte,35.3070929,-80.735164
North Dakota State University,46.8977528,-96.8024367
Florida Atlantic University,26.3749876,-80.10106329999999
SUNY New Paltz,41.7390054,-74.0851655
Susquehanna University,40.79607290000001,-76.8774454
University of Nebraska at Kearney,40.7011879,-99.1014292
Arizona State University - Downtown Phoenix Campus,33.453931,-112.0705602
Wheaton College - Massachusetts,41.9672177,-71.1839593
University of Washington - Bothell,47.7589719,-122.190707
Alfred University,42.253418,-77.78770519999999
University of Southern Mississippi,31.3298668,-89.33345349999999
Towson University,39.3925121,-76.61263919999999
Whittier College,33.97773129999999,-118.0292132
Birmingham-Southern College,33.5159411,-86.8510103
University of Tampa,27.9468757,-82.46722659999999
Roanoke College,37.2974467,-80.05526660000001
Florida Gulf Coast University,26.4637116,-81.7752618
Keiser University - Fort Lauderdale,26.1859293,-80.1640417
Stetson University,29.0348652,-81.30091589999999
Wayne State University,42.3591388,-83.06654619999999
Sarah Lawrence College,40.93459,-73.8455821
Berry College,34.290361,-85.189199
University of Mobile,30.79250759999999,-88.13134869999999
Georgia Southern University,32.42054890000001,-81.78653469999999
Hofstra University,40.7166872,-73.5993965
