,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
0,Massachusetts Institute of Technology,1,"CAMBRIDGE, MA",A+,7,20465,1510-1570,CAMBRIDGE, MA,1510,1570,1540.0
1,Harvard University,2,"CAMBRIDGE, MA",A+,5,18030,1460-1570,CAMBRIDGE, MA,1460,1570,1515.0
2,Stanford University,3,"STANFORD, CA",A+,4,16779,1440-1570,STANFORD, CA,1440,1570,1505.0
3,Yale University,4,"NEW HAVEN, CT",A+,6,18073,1460-1570,NEW HAVEN, CT,1460,1570,1515.0
4,Princeton University,5,"PRINCETON, NJ",A+,6,18712,1460-1570,PRINCETON, NJ,1460,1570,1515.0
5,Duke University,6,"DURHAM, NC",A+,8,24386,1480-1570,DURHAM, NC,1480,1570,1525.0
6,Rice University,7,"HOUSTON, TX",A+,9,20335,1470-1570,HOUSTON, TX,1470,1570,1520.0
7,Brown University,8,"PROVIDENCE, RI",A+,7,27218,1440-1570,PROVIDENCE, RI,1440,1570,1505.0
8,University of Pennsylvania,9,"PHILADELPHIA, PA",A+,8,24771,1450-1560,PHILADELPHIA, PA,1450,1560,1505.0
9,Dartmouth College,10,"HANOVER, NH",A+,8,23869,1440-1560,HANOVER, NH,1440,1560,1500.0
10,Columbia University,11,"NEW YORK, NY",A+,5,21828,1440-1570,NEW YORK, NY,1440,1570,1505.0
11,Washington University in St. Louis,12,"SAINT LOUIS, MO",A+,14,27108,1480-1560,SAINT LOUIS, MO,1480,1560,1520.0
12,Vanderbilt University,13,"NASHVILLE, TN",A+,9,25855,1460-1560,NASHVILLE, TN,1460,1560,1510.0
13,Northwestern University,14,"EVANSTON, IL",A+,9,26196,1440-1550,EVANSTON, IL,1440,1550,1495.0
14,University of Chicago,15,"CHICAGO, IL",A+,6,34719,1500-1570,CHICAGO, IL,1500,1570,1535.0
15,University of Southern California,16,"LOS ANGELES, CA",A+,11,37521,1360-1530,LOS ANGELES, CA,1360,1530,1445.0
16,Cornell University,17,"ITHACA, NY",A+,11,28921,1400-1560,ITHACA, NY,1400,1560,1480.0
17,Pomona College,18,"CLAREMONT, CA",A+,7,18500,1390-1540,CLAREMONT, CA,1390,1540,1465.0
18,University of Notre Dame,19,"NOTRE DAME, IN",A+,16,30536,1400-1550,NOTRE DAME, IN,1400,1550,1475.0
19,California Institute of Technology,20,"PASADENA, CA",A+,6,27438,1530-1560,PASADENA, CA,1530,1560,1545.0
20,Carnegie Mellon University,21,"PITTSBURGH, PA",A+,15,30618,1460-1560,PITTSBURGH, PA,1460,1560,1510.0
21,Johns Hopkins University,22,"BALTIMORE, MD",A+,11,28999,1460-1560,BALTIMORE, MD,1460,1560,1510.0
22,University of California - Los Angeles,23,"LOS ANGELES, CA",A+,12,15718,1300-1530,LOS ANGELES, CA,1300,1530,1415.0
23,Georgetown University,24,"WASHINGTON, DC",A+,14,28442,1380-1550,WASHINGTON, DC,1380,1550,1465.0
24,University of Michigan - Ann Arbor,25,"ANN ARBOR, MI",A+,23,17357,1340-1530,ANN ARBOR, MI,1340,1530,1435.0
25,Tufts University,26,"MEDFORD, MA",A+,15,26280,1390-1540,MEDFORD, MA,1390,1540,1465.0
26,Bowdoin College,27,"BRUNSWICK, ME",A+,9,23808,1360-1510,BRUNSWICK, ME,1360,1510,1435.0
27,Washington and Lee University,28,"LEXINGTON, VA",A+,19,23301,1360-1500,LEXINGTON, VA,1360,1500,1430.0
28,University of Virginia,29,"CHARLOTTESVILLE, VA",A+,24,17579,1340-1520,CHARLOTTESVILLE, VA,1340,1520,1430.0
29,Georgia Institute of Technology,30,"ATLANTA, GA",A+,21,16883,1300-1510,ATLANTA, GA,1300,1510,1405.0
30,Claremont McKenna College,31,"CLAREMONT, CA",A+,10,24456,1360-1510,CLAREMONT, CA,1360,1510,1435.0
31,Middlebury College,32,"MIDDLEBURY, VT",A+,15,23367,1360-1530,MIDDLEBURY, VT,1360,1530,1445.0
32,Harvey Mudd College,33,"CLAREMONT, CA",A+,14,39411,1490-1570,CLAREMONT, CA,1490,1570,1530.0
33,Haverford College,34,"HAVERFORD, PA",A+,16,22837,1380-1540,HAVERFORD, PA,1380,1540,1460.0
34,Emory University,35,"ATLANTA, GA",A+,16,25942,1360-1530,ATLANTA, GA,1360,1530,1445.0
35,Swarthmore College,36,"SWARTHMORE, PA",A+,9,19759,1380-1540,SWARTHMORE, PA,1380,1540,1460.0
36,United States Military Academy at West Point,37,"WEST  POINT, NY",A+,12,,1160-1380,WEST  POINT, NY,1160,1380,1270.0
37,Barnard College,38,"NEW YORK, NY",A+,12,26649,1340-1520,NEW YORK, NY,1340,1520,1430.0
38,Wellesley College,39,"WELLESLEY, MA",A+,22,19805,1360-1530,WELLESLEY, MA,1360,1530,1445.0
39,Hamilton College,40,"CLINTON, NY",A+,16,29117,1370-1520,CLINTON, NY,1370,1520,1445.0
40,Carleton College,41,"NORTHFIELD, MN",A+,19,31547,1360-1540,NORTHFIELD, MN,1360,1540,1450.0
41,New York University,42,"NEW YORK, NY",A+,16,37739,1350-1530,NEW YORK, NY,1350,1530,1440.0
42,Colgate University,43,"HAMILTON, NY",A+,23,23503,1330-1500,HAMILTON, NY,1330,1500,1415.0
43,Williams College,44,"WILLIAMSTOWN, MA",A+,13,17303,1410-1550,WILLIAMSTOWN, MA,1410,1550,1480.0
44,Wake Forest University,45,"WINSTON-SALEM, NC",A+,30,24800,1270-1410,WINSTON-SALEM, NC,1270,1410,1340.0
45,Boston College,46,"CHESTNUT HILL, MA",A+,27,28354,1340-1500,CHESTNUT HILL, MA,1340,1500,1420.0
46,University of North Carolina at Chapel Hill,47,"CHAPEL HILL, NC",A+,23,10085,1310-1500,CHAPEL HILL, NC,1310,1500,1405.0
47,University of Florida,48,"GAINESVILLE, FL",A+,37,10457,1310-1470,GAINESVILLE, FL,1310,1470,1390.0
48,University of California - Berkeley,49,"BERKELEY, CA",A+,16,18522,1330-1530,BERKELEY, CA,1330,1530,1430.0
49,Davidson College,50,"DAVIDSON, NC",A+,18,27714,1310-1480,DAVIDSON, NC,1310,1480,1395.0
50,Northeastern University,51,"BOSTON, MA",A+,18,36479,1390-1540,BOSTON, MA,1390,1540,1465.0
51,University of Texas - Austin,52,"AUSTIN, TX",A+,32,15502,1230-1480,AUSTIN, TX,1230,1480,1355.0
52,Wesleyan University,53,"MIDDLETOWN, CT",A+,16,21853,1300-1480,MIDDLETOWN, CT,1300,1480,1390.0
53,Boston University,54,"BOSTON, MA",A+,19,29479,1340-1510,BOSTON, MA,1340,1510,1425.0
54,Amherst College,55,"AMHERST, MA",A+,11,16339,1310-1520,AMHERST, MA,1310,1520,1415.0
55,William & Mary,56,"WILLIAMSBURG, VA",A+,38,18551,1320-1510,WILLIAMSBURG, VA,1320,1510,1415.0
56,University of Georgia,57,"ATHENS, GA",A+,45,15961,1240-1420,ATHENS, GA,1240,1420,1330.0
57,Colby College,58,"WATERVILLE, ME",A+,10,19592,1380-1520,WATERVILLE, ME,1380,1520,1450.0
58,University of Richmond,59,"UNIVERSITY OF RICHMOND, VA",A+,28,25282,1290-1460,UNIVERSITY OF RICHMOND, VA,1290,1460,1375.0
59,Grinnell College,60,"GRINNELL, IA",A+,23,29404,1370-1530,GRINNELL, IA,1370,1530,1450.0
60,University of Miami,61,"CORAL GABLES, FL",A+,27,33102,1270-1440,CORAL GABLES, FL,1270,1440,1355.0
61,Bates College,62,"LEWISTON, ME",A+,12,26669,1385-1460,LEWISTON, ME,1385,1460,1422.5
62,Macalester College,63,"SAINT PAUL, MN",A+,32,31458,1320-1510,SAINT PAUL, MN,1320,1510,1415.0
63,Babson College,64,"WELLESLEY, MA",A+,26,28325,1270-1450,WELLESLEY, MA,1270,1450,1360.0
64,University of Wisconsin,65,"MADISON, WI",A+,54,16103,1300-1480,MADISON, WI,1300,1480,1390.0
65,Villanova University,66,"VILLANOVA, PA",A+,28,36840,1320-1470,VILLANOVA, PA,1320,1470,1395.0
66,Lehigh University,67,"BETHLEHEM, PA",A+,32,26631,1280-1450,BETHLEHEM, PA,1280,1450,1365.0
67,Virginia Tech,68,"BLACKSBURG, VA",A+,70,18449,1180-1390,BLACKSBURG, VA,1180,1390,1285.0
68,The Cooper Union for the Advancement of Science and Art,69,"NEW YORK, NY",A+,15,28366,1300-1530,NEW YORK, NY,1300,1530,1415.0
69,Lafayette College,70,"EASTON, PA",A+,31,26810,1250-1440,EASTON, PA,1250,1440,1345.0
70,University of Illinois Urbana-Champaign,71,"URBANA, IL",A+,59,14660,1210-1470,URBANA, IL,1210,1470,1340.0
71,Case Western Reserve University,72,"CLEVELAND, OH",A+,27,35890,1340-1510,CLEVELAND, OH,1340,1510,1425.0
72,Tulane University,73,"NEW ORLEANS, LA",A+,13,40783,1360-1520,NEW ORLEANS, LA,1360,1520,1440.0
73,Smith College,74,"NORTHAMPTON, MA",A+,32,28905,1240-1470,NORTHAMPTON, MA,1240,1470,1355.0
74,University of California - Santa Barbara,75,"SANTA BARBARA, CA",A+,30,16767,1230-1480,SANTA BARBARA, CA,1230,1480,1355.0
75,University of Rochester,76,"ROCHESTER, NY",A+,30,32939,1310-1500,ROCHESTER, NY,1310,1500,1405.0
76,Purdue University,77,"WEST LAFAYETTE, IN",A+,60,12684,1190-1440,WEST LAFAYETTE, IN,1190,1440,1315.0
77,Kenyon College,78,"GAMBIER, OH",A+,34,37940,1270-1460,GAMBIER, OH,1270,1460,1365.0
78,Vassar College,79,"POUGHKEEPSIE, NY",A+,24,24811,1370-1520,POUGHKEEPSIE, NY,1370,1520,1445.0
79,Texas A&M University,80,"COLLEGE STATION, TX",A+,58,19237,1160-1390,COLLEGE STATION, TX,1160,1390,1275.0
80,Florida State University,81,"TALLAHASSEE, FL",A+,36,12568,1200-1340,TALLAHASSEE, FL,1200,1340,1270.0
81,University of California - Irvine,82,"IRVINE, CA",A+,27,15268,1170-1420,IRVINE, CA,1170,1420,1295.0
82,College of the Holy Cross,83,"WORCESTER, MA",A+,34,34627,1260-1430,WORCESTER, MA,1260,1430,1345.0
83,Bucknell University,84,"LEWISBURG, PA",A+,34,39493,1260-1430,LEWISBURG, PA,1260,1430,1345.0
84,Penn State,85,"UNIVERSITY PARK, PA",A+,56,26151,1160-1360,UNIVERSITY PARK, PA,1160,1360,1260.0
85,North Carolina State University,86,"RALEIGH, NC",A+,45,14958,1250-1420,RALEIGH, NC,1250,1420,1335.0
86,Skidmore College,87,"SARATOGA SPRINGS, NY",A+,30,23589,1220-1400,SARATOGA SPRINGS, NY,1220,1400,1310.0
87,Southern Methodist University,88,"DALLAS, TX",A+,47,40404,1300-1480,DALLAS, TX,1300,1480,1390.0
88,The Ohio State University,89,"COLUMBUS, OH",A,54,18706,1250-1460,COLUMBUS, OH,1250,1460,1355.0
89,Mount Holyoke College,90,"SOUTH HADLEY, MA",A,38,32008,1290-1500,SOUTH HADLEY, MA,1290,1500,1395.0
90,University of California - Davis,91,"DAVIS, CA",A,39,15886,1170-1410,DAVIS, CA,1170,1410,1290.0
91,Santa Clara University,92,"SANTA CLARA, CA",A,49,42114,1280-1440,SANTA CLARA, CA,1280,1440,1360.0
92,Colorado School of Mines,93,"GOLDEN, CO",A,53,26856,1160-1460,GOLDEN, CO,1160,1460,1310.0
93,Brigham Young University,94,"PROVO, UT",A,67,13340,1210-1420,PROVO, UT,1210,1420,1315.0
94,University of Minnesota Twin Cities,95,"MINNEAPOLIS, MN",A,57,17279,1260-1480,MINNEAPOLIS, MN,1260,1480,1370.0
95,Trinity University,96,"SAN ANTONIO, TX",A,29,30505,1290-1450,SAN ANTONIO, TX,1290,1450,1370.0
96,Rose-Hulman Institute of Technology,97,"TERRE HAUTE, IN",A,74,45356,1250-1460,TERRE HAUTE, IN,1250,1460,1355.0
97,Rensselaer Polytechnic Institute,98,"TROY, NY",A,47,41006,1290-1490,TROY, NY,1290,1490,1390.0
98,University of Washington,99,"SEATTLE, WA",A,52,10692,1220-1470,SEATTLE, WA,1220,1470,1345.0
99,Clemson University,100,"CLEMSON, SC",A,51,21482,1230-1400,CLEMSON, SC,1230,1400,1315.0
100,University of California - San Diego,101,"LA JOLLA, CA",A,31,14864,1250-1490,LA JOLLA, CA,1250,1490,1370.0
101,Bryn Mawr College,102,"BRYN MAWR, PA",A,33,33716,1310-1500,BRYN MAWR, PA,1310,1500,1405.0
102,George Washington University,103,"WASHINGTON, DC",A,41,38829,1280-1470,WASHINGTON, DC,1280,1470,1375.0
103,Occidental College,104,"LOS ANGELES, CA",A,37,35362,1300-1480,LOS ANGELES, CA,1300,1480,1390.0
104,Worcester Polytechnic Institute,105,"WORCESTER, MA",A,49,42393,1310-1480,WORCESTER, MA,1310,1480,1395.0
105,Whitman College,106,"WALLA WALLA, WA",A,56,41822,1240-1450,WALLA WALLA, WA,1240,1450,1345.0
106,Scripps College,107,"CLAREMONT, CA",A,32,39702,1330-1490,CLAREMONT, CA,1330,1490,1410.0
107,Reed College,108,"PORTLAND, OR",A,39,32069,1320-1520,PORTLAND, OR,1320,1520,1420.0
108,University of Maryland - College Park,109,"COLLEGE PARK, MD",A,44,17723,1280-1470,COLLEGE PARK, MD,1280,1470,1375.0
109,University of Pittsburgh,110,"PITTSBURGH, PA",A,57,22600,1260-1440,PITTSBURGH, PA,1260,1440,1350.0
110,Michigan State University,111,"EAST LANSING, MI",A,71,16579,1100-1320,EAST LANSING, MI,1100,1320,1210.0
111,Franklin & Marshall College,112,"LANCASTER, PA",A,30,27102,1200-1420,LANCASTER, PA,1200,1420,1310.0
112,Colorado College,113,"COLORADO SPRINGS, CO",A,14,32303,,COLORADO SPRINGS, CO,,,
113,Brandeis University,114,"WALTHAM, MA",A,30,37264,1350-1520,WALTHAM, MA,1350,1520,1435.0
114,Texas Christian University,115,"FORT WORTH, TX",A,47,37509,1150-1350,FORT WORTH, TX,1150,1350,1250.0
115,Pepperdine University,116,"MALIBU, CA",A,32,42135,1230-1450,MALIBU, CA,1230,1450,1340.0
116,Stevens Institute of Technology,117,"HOBOKEN, NJ",A,40,40770,1340-1500,HOBOKEN, NJ,1340,1500,1420.0
117,University of Tulsa,118,"TULSA, OK",A,36,23940,1090-1360,TULSA, OK,1090,1360,1225.0
118,St. Olaf College,119,"NORTHFIELD, MN",A,48,27779,1190-1430,NORTHFIELD, MN,1190,1430,1310.0
119,Indiana University - Bloomington,120,"BLOOMINGTON, IN",A,78,13036,1150-1360,BLOOMINGTON, IN,1150,1360,1255.0
120,Wheaton College - Illinois,121,"WHEATON, IL",A,85,28795,1220-1440,WHEATON, IL,1220,1440,1330.0
121,Rhode Island School of Design,122,"PROVIDENCE, RI",A,26,39791,1230-1470,PROVIDENCE, RI,1230,1470,1350.0
122,Pitzer College,123,"CLAREMONT, CA",A,14,36552,1300-1450,CLAREMONT, CA,1300,1450,1375.0
123,Loyola Marymount University,124,"LOS ANGELES, CA",A,44,47292,1230-1410,LOS ANGELES, CA,1230,1410,1320.0
124,Gettysburg College,125,"GETTYSBURG, PA",A,48,34720,1200-1370,GETTYSBURG, PA,1200,1370,1285.0
125,Michigan Technological University,126,"HOUGHTON, MI",A,74,17814,1170-1370,HOUGHTON, MI,1170,1370,1270.0
126,University of Massachusetts - Amherst,127,"AMHERST, MA",A,64,22927,1190-1390,AMHERST, MA,1190,1390,1290.0
127,Saint Louis University,128,"SAINT LOUIS, MO",A,58,31098,1170-1380,SAINT LOUIS, MO,1170,1380,1275.0
128,Furman University,129,"GREENVILLE, SC",A,57,35621,1240-1420,GREENVILLE, SC,1240,1420,1330.0
129,Virginia Military Institute,130,"LEXINGTON, VA",A,60,13428,1090-1270,LEXINGTON, VA,1090,1270,1180.0
130,University of South Florida,131,"TAMPA, FL",A,48,9787,1170-1330,TAMPA, FL,1170,1330,1250.0
131,Denison University,132,"GRANVILLE, OH",A,29,36650,1200-1410,GRANVILLE, OH,1200,1410,1305.0
132,University of San Diego,133,"SAN DIEGO, CA",A,49,35936,1190-1370,SAN DIEGO, CA,1190,1370,1280.0
133,Wabash College,134,"CRAWFORDSVILLE, IN",A,64,21285,1120-1320,CRAWFORDSVILLE, IN,1120,1320,1220.0
134,California Polytechnic State University (Cal Poly) - San Luis Obispo,135,"SAN LUIS OBISPO, CA",A,28,21232,1240-1440,SAN LUIS OBISPO, CA,1240,1440,1340.0
135,Oklahoma State University,136,"STILLWATER, OK",A,70,15325,1060-1280,STILLWATER, OK,1060,1280,1170.0
136,Rutgers University - New Brunswick,137,"NEW BRUNSWICK, NJ",A,61,16873,1210-1430,NEW BRUNSWICK, NJ,1210,1430,1320.0
137,Yeshiva University,138,"NEW YORK, NY",A,55,33953,1150-1390,NEW YORK, NY,1150,1390,1270.0
138,James Madison University,139,"HARRISONBURG, VA",A,77,18708,1120-1290,HARRISONBURG, VA,1120,1290,1205.0
139,Auburn University,140,"AUBURN, AL",A,81,23562,1150-1320,AUBURN, AL,1150,1320,1235.0
140,Rhodes College,141,"MEMPHIS, TN",A,45,30632,1220-1430,MEMPHIS, TN,1220,1430,1325.0
141,Union College - New York,142,"SCHENECTADY, NY",A,43,39527,1220-1420,SCHENECTADY, NY,1220,1420,1320.0
142,Dickinson College,143,"CARLISLE, PA",A,40,33139,1190-1365,CARLISLE, PA,1190,1365,1277.5
143,University of Delaware,144,"NEWARK, DE",A,71,17539,1160-1350,NEWARK, DE,1160,1350,1255.0
144,Baylor University,145,"WACO, TX",A,45,38372,1200-1380,WACO, TX,1200,1380,1290.0
145,University of Utah,146,"SALT LAKE CITY, UT",A,62,13739,1140-1380,SALT LAKE CITY, UT,1140,1380,1260.0
146,Iowa State University,147,"AMES, IA",A,92,15195,1100-1340,AMES, IA,1100,1340,1220.0
147,University of Central Florida,148,"ORLANDO, FL",A,44,11617,1170-1340,ORLANDO, FL,1170,1340,1255.0
148,University of Iowa,149,"IOWA CITY, IA",A,83,17008,1130-1340,IOWA CITY, IA,1130,1340,1235.0
149,Arizona State University,150,"TEMPE, AZ",A,86,14081,1120-1360,TEMPE, AZ,1120,1360,1240.0
150,Hendrix College,151,"CONWAY, AR",A,70,20859,1150-1360,CONWAY, AR,1150,1360,1255.0
151,University of Dayton,152,"DAYTON, OH",A,72,33372,1120-1320,DAYTON, OH,1120,1320,1220.0
152,University of South Carolina,153,"COLUMBIA, SC",A,69,21787,1180-1370,COLUMBIA, SC,1180,1370,1275.0
153,Mississippi State University,154,"MISSISSIPPI STATE, MS",A,54,16471,1070-1280,MISSISSIPPI STATE, MS,1070,1280,1175.0
154,Lewis & Clark College,155,"PORTLAND, OR",A,72,36026,1220-1400,PORTLAND, OR,1220,1400,1310.0
155,University of Oklahoma,156,"NORMAN, OK",A,80,21804,1110-1310,NORMAN, OK,1110,1310,1210.0
156,University of Connecticut,157,"STORRS, CT",A,49,20042,1200-1410,STORRS, CT,1200,1410,1305.0
157,University of St. Thomas - Minnesota,158,"SAINT PAUL, MN",A,81,29645,1160-1350,SAINT PAUL, MN,1160,1350,1255.0
158,Bentley University,159,"WALTHAM, MA",A,47,41582,1230-1410,WALTHAM, MA,1230,1410,1320.0
159,Syracuse University,160,"SYRACUSE, NY",A,44,43111,1180-1380,SYRACUSE, NY,1180,1380,1280.0
160,Fairfield University,161,"FAIRFIELD, CT",A,57,39546,1210-1350,FAIRFIELD, CT,1210,1350,1280.0
161,LeTourneau University,162,"LONGVIEW, TX",A,45,24609,1090-1310,LONGVIEW, TX,1090,1310,1200.0
162,University of South Florida - Sarasota-Manatee,163,"SARASOTA, FL",A,24,2734,1160-1290,SARASOTA, FL,1160,1290,1225.0
163,Washington State University,164,"PULLMAN, WA",A,76,18002,1020-1230,PULLMAN, WA,1020,1230,1125.0
164,Drake University,165,"DES MOINES, IA",A,68,30265,1100-1370,DES MOINES, IA,1100,1370,1235.0
165,University of Missouri,166,"COLUMBIA, MO",A,81,15850,1120-1340,COLUMBIA, MO,1120,1340,1230.0
166,University of Cincinnati,167,"CINCINNATI, OH",A,77,19219,1120-1350,CINCINNATI, OH,1120,1350,1235.0
167,Texas Tech University,168,"LUBBOCK, TX",A,69,16463,1070-1260,LUBBOCK, TX,1070,1260,1165.0
168,Milwaukee School of Engineering,169,"MILWAUKEE, WI",A,62,25917,1180-1370,MILWAUKEE, WI,1180,1370,1275.0
169,Chapman University,170,"ORANGE, CA",A,56,43767,1190-1380,ORANGE, CA,1190,1380,1285.0
170,American University,171,"WASHINGTON, DC",A,36,40469,1210-1390,WASHINGTON, DC,1210,1390,1300.0
171,Kansas State University,172,"MANHATTAN, KS",A,95,18103,,MANHATTAN, KS,,,
172,California State University - Long Beach,173,"LONG BEACH, CA",A,39,9903,1040-1250,LONG BEACH, CA,1040,1250,1145.0
173,University of Arizona,174,"TUCSON, AZ",A,85,16580,1110-1360,TUCSON, AZ,1110,1360,1235.0
174,Gustavus Adolphus College,175,"SAINT PETER, MN",A,69,21707,1080-1340,SAINT PETER, MN,1080,1340,1210.0
175,Point Loma Nazarene University,176,"SAN DIEGO, CA",A,74,33183,1140-1310,SAN DIEGO, CA,1140,1310,1225.0
176,Trinity College - Connecticut,177,"HARTFORD, CT",A,33,27829,1300-1450,HARTFORD, CT,1300,1450,1375.0
177,Florida International University,178,"MIAMI, FL",A,58,9888,1110-1280,MIAMI, FL,1110,1280,1195.0
178,University of Arkansas,179,"FAYETTEVILLE, AR",A,77,16263,1120-1300,FAYETTEVILLE, AR,1120,1300,1210.0
179,Creighton University,180,"OMAHA, NE",A,74,32145,1170-1350,OMAHA, NE,1170,1350,1260.0
180,"Binghamton University, SUNY",181,"VESTAL, NY",A,41,17424,1280-1440,VESTAL, NY,1280,1440,1360.0
181,Temple University,182,"PHILADELPHIA, PA",A,60,23032,1010-1230,PHILADELPHIA, PA,1010,1230,1120.0
182,University of South Florida - St. Petersburg,183,"ST. PETERSBURG, FL",A,27,10841,1140-1280,ST. PETERSBURG, FL,1140,1280,1210.0
183,University of Portland,184,"PORTLAND, OR",A,77,36051,1150-1350,PORTLAND, OR,1150,1350,1250.0
184,St. Lawrence University,185,"CANTON, NY",A,42,34047,1180-1350,CANTON, NY,1180,1350,1265.0
185,University of Mississippi,186,"UNIVERSITY, MS",A,88,14672,1020-1250,UNIVERSITY, MS,1020,1250,1135.0
186,Miami University,187,"OXFORD, OH",A,80,22989,1190-1390,OXFORD, OH,1190,1390,1290.0
187,University of Nebraska - Lincoln,188,"LINCOLN, NE",A,78,17093,1120-1360,LINCOLN, NE,1120,1360,1240.0
188,College of Wooster,189,"WOOSTER, OH",A,55,28209,1150-1380,WOOSTER, OH,1150,1380,1265.0
189,"University at Buffalo, SUNY",190,"BUFFALO, NY",A,61,17264,1160-1340,BUFFALO, NY,1160,1340,1250.0
190,University of Alabama - Birmingham,191,"BIRMINGHAM, AL",A,74,17068,1090-1360,BIRMINGHAM, AL,1090,1360,1225.0
191,The University of Alabama,192,"TUSCALOOSA, AL",A,83,20623,1080-1340,TUSCALOOSA, AL,1080,1340,1210.0
192,Augustana University,193,"SIOUX FALLS, SD",A,67,24481,1090-1360,SIOUX FALLS, SD,1090,1360,1225.0
193,Oberlin College,194,"OBERLIN, OH",A,36,43612,1280-1480,OBERLIN, OH,1280,1480,1380.0
194,Lawrence University,195,"APPLETON, WI",A,62,26162,1200-1430,APPLETON, WI,1200,1430,1315.0
195,DigiPen Institute of Technology,196,"REDMOND, WA",A,34,34874,1130-1400,REDMOND, WA,1130,1400,1265.0
196,College of the Ozarks,197,"POINT LOOKOUT, MO",A,10,11316,960-1200,POINT LOOKOUT, MO,960,1200,1080.0
197,University of Denver,198,"DENVER, CO",A,59,37263,1170-1350,DENVER, CO,1170,1350,1260.0
198,South Dakota School of Mines & Technology,199,"RAPID CITY, SD",A,77,19444,1160-1360,RAPID CITY, SD,1160,1360,1260.0
